,URL,Listed By,Bought with
136,https://www.redfin.com/IL/Wilmette/119-17th-St-60091/home/13775712,Listed by Audrey Gourguechon  • @properties Christie's International Real Estate,Bought with Eileen Collins  • Compass
137,https://www.redfin.com/IL/Winnetka/1139-Oakley-Ave-60093/home/13789996,Listed by Sherry Molitor  • Coldwell Banker Realty,Bought with Matan Aharoni  • Matan Aharoni
138,https://www.redfin.com/IL/Kenilworth/533-Exmoor-Rd-60043/home/13784465,,
139,https://www.redfin.com/IL/Glencoe/319-Adams-Ave-60022/home/21759512,Listed by Jody Dickstein  • @properties Christie's International Real Estate,Bought with Karen Mason  • @properties Christie's International Real Estate
140,https://www.redfin.com/IL/Wilmette/1219-Hunter-Rd-60091/home/13782086,Listed by Jamey Johnson  • Kale Realty,Bought with Katie Hauser  • Compass
141,https://www.redfin.com/IL/Glencoe/963-Vernon-Ave-60022/home/13792857,Listed by Elise Rinaldi  • @properties Christie's International Real Estate,Bought with Anthony Mehrabian  • Baird & Warner
142,https://www.redfin.com/IL/Wilmette/2013-Highland-Ave-60091/home/13777456,Listed by Marilee Moyer  • @properties Christie's International Real Estate,Bought with Shay Hata  • Berkshire Hathaway HomeServices Chicago
143,https://www.redfin.com/IL/Winnetka/616-Garland-Ave-60093/home/13786363,Listed by Dinny Dwyer  • Coldwell Banker Realty,Bought with Darragh Landry  • @properties Christie's International Real Estate
144,https://www.redfin.com/IL/Wilmette/2113-Kenilworth-Ave-60091/home/13783476,Listed by Monica Childs  • @properties Christie's International Real Estate,Bought with Dinny Dwyer  • Coldwell Banker Realty
145,https://www.redfin.com/IL/Winnetka/1417-Scott-Ave-60093/home/13788715,Listed by Laura McCain  • Compass,Bought with Kathryn Moor  • Coldwell Banker Realty
146,https://www.redfin.com/IL/Winnetka/95-High-St-60093/home/13784378,Listed by Mary Grant  • @properties Christie's International Real Estate,Bought with Chris Veech  • @properties Christie's International Real Estate
147,https://www.redfin.com/IL/Winnetka/149-Glenwood-Ave-60093/home/13789517,Listed by Paige Dooley  • Compass,"Bought with Michael Scanlon  • eXp Realty, LLC"
148,https://www.redfin.com/IL/Wilmette/1930-Thornwood-Ave-60091/home/13783077,Listed by Cheryl Chambers  • @properties Christie's International Real Estate,Bought with Bonnie Tripton  • @properties Christie's International Real Estate
149,https://www.redfin.com/IL/Winnetka/847-Ash-St-60093/home/13786162,,
150,https://www.redfin.com/IL/Winnetka/525-Ash-St-60093/home/13784946,Listed by Joseph Nash  • @properties Christie's International Real Estate,Bought with Monica Corbett  • Compass
151,https://www.redfin.com/IL/Wilmette/306-Lawndale-Ave-60091/home/13775164,Listed by Shaun Raugstad  • Coldwell Banker Realty,Bought with Pamela McClamroch  • Coldwell Banker Realty
152,https://www.redfin.com/IL/Glencoe/1000-Bluff-Rd-60022/home/13790723,Listed by Michael Marasco  • Dessa Realty LLC,Bought with Janice Goldblatt  • @properties Christie's International Real Estate
153,https://www.redfin.com/IL/Winnetka/1011-Willow-Rd-60093/home/13786867,Listed by Sunny Seon Kim  • iProperties,Bought with Stacy Klimkowski  • Keller Williams ONEChicago
154,https://www.redfin.com/IL/Glencoe/271-South-Ln-60022/home/13791214,Listed by Shannon Sweetnam  • Coldwell Banker Realty,Bought with Shannon Sweetnam  • Coldwell Banker Realty
155,https://www.redfin.com/IL/Winnetka/293-Ridge-Ave-60093/home/13785680,Listed by Mary Grant  • @properties Christie's International Real Estate,Bought with Kate Huff  • Coldwell Banker Realty
156,https://www.redfin.com/IL/Wilmette/933-Elmwood-Ave-60091/home/13783245,Listed by Mary Baubonis  • @properties Christie's International Real Estate,Bought with Emily Destefano  • @properties Christie's International Real Estate
157,https://www.redfin.com/IL/Wilmette/1414-Forest-Ave-60091/home/13782668,Listed by Chris Smith  • Baird & Warner,Bought with Sheila O'Halloran Bower  • Baird & Warner
158,https://www.redfin.com/IL/Wilmette/1210-Glendenning-Rd-60091/home/13781976,Listed by Peter Lipsey  • Berkshire Hathaway HomeServices Chicago,Bought with Katherine Harris  • Compass
159,https://www.redfin.com/IL/Kenilworth/632-Abbotsford-Rd-60043/home/13782822,Listed by Michael Mitchell  • @properties Christie's International Real Estate,Bought with Laura Fitzpatrick  • @properties Christie's International Real Estate
160,https://www.redfin.com/IL/Glencoe/841-Greenwood-Ave-60022/home/13791463,Listed by Richard Richker  • @properties Christie's International Real Estate,Bought with Michael Dickstein  • @properties Christie's International Real Estate
161,https://www.redfin.com/IL/Glencoe/983-Vernon-Ave-60022/home/13791421,Listed by Evelyn Leberis  • @properties Christie's International Real Estate,Bought with Robert Wilson JR  • It's Real Estate Inc
162,https://www.redfin.com/IL/Winnetka/238-Ridge-Ave-60093/home/13787320,Listed by Elizabeth Jensen  • Berkshire Hathaway HomeServices Chicago,Bought with Cory Green  • Compass
163,https://www.redfin.com/IL/Winnetka/1304-Asbury-Ave-60093/home/13789064,Listed by Laura McCain  • Compass,Bought with Christopher Miroslaw  • Gateway Realty LLC
164,https://www.redfin.com/IL/Winnetka/880-Willow-Rd-60093/home/13786729,Listed by Scott Slutsky  • Berkshire Hathaway HomeServices Chicago,Bought with Karen Fata  • @properties Christie's International Real Estate
165,https://www.redfin.com/IL/Wilmette/2034-Thornwood-Ave-60091/home/13783518,,
166,https://www.redfin.com/IL/Winnetka/269-Chestnut-St-60093/home/22775534,,
167,https://www.redfin.com/IL/Winnetka/530-Cherry-St-60093/home/13785411,,
168,https://www.redfin.com/IL/Glencoe/450-South-Ave-60022/home/13791006,,
169,https://www.redfin.com/IL/Winnetka/1036-Elm-St-60093/home/13786118,,
170,https://www.redfin.com/IL/Glencoe/400-Washington-Ave-60022/home/13791855,Listed by Michael Mitchell  • @properties Christie's International Real Estate MichaelMitchell1760@gmail.com (agent),
171,https://www.redfin.com/IL/Glencoe/43-Crescent-Dr-60022/home/13791158,,
172,https://www.redfin.com/IL/Wilmette/1415-Sheridan-Rd-60091/home/13783508,Listed by Beth Wexler  • @properties Christie's International Real Estate,Bought with Carrie Tarzon  • @properties Christie's International Real Estate
173,https://www.redfin.com/IL/Wilmette/905-Westerfield-Dr-60091/home/13783052,Listed by Claudia Gaynor  • Coldwell Banker Realty,Bought with Carrie Tarzon  • @properties Christie's International Real Estate
174,https://www.redfin.com/IL/Wilmette/1244-Central-Ave-60091/home/12748292,Listed by Kevin Rutherford  • Baird & Warner,Bought with Emily Weseman  • RE/MAX 10 Lincoln Park
